mixed,k_fold,data_split,win_size,cat,mean_acc,std_acc,mean_agr,std_agr
True,10,1,30,0 70 80 100,"0,6","0,25","0,6","0,12"
True,10,2,30,0 70 80 100,"0,52","0,23","0,8","0,07"
True,10,3,30,0 70 80 100,"0,49","0,17","0,98","0,07"
True,10,4,30,0 70 80 100,"0,5","0,15","0,88","0,08"
False,10,1,30,0 70 80 100,"0,47","0,3","0,51","0,29"
True,5,1,30,0 70 80 100,"0,47","0,24","0,65","0,04"
True,5,2,30,0 70 80 100,"0,55","0,11","0,76","0,05"
True,5,3,30,0 70 80 100,"0,49","0,08","0,88","0,04"
True,5,4,30,0 70 80 100,"0,47","0,04","0,89","0,04"
False,5,1,30,0 70 80 100,"0,4","0,25","0,63","0,09"
True,10,1,30,0 70 100,"0,67","0,33","0,77","0,26"
True,10,2,30,0 70 100,"0,72","0,11","0,98","0,03"
True,10,3,30,0 70 100,"0,7","0,17",1,0
True,10,4,30,0 70 100,"0,7","0,15",1,0
False,10,1,30,0 70 100,"0,57","0,26","0,77","0,27"
True,5,1,30,0 70 100,"0,73","0,23","0,8","0,03"
True,5,2,30,0 70 100,"0,71","0,11","0,98","0,03"
True,5,3,30,0 70 100,"0,7","0,08",1,0
True,5,4,30,0 70 100,"0,7","0,08",1,0
False,5,1,30,0 70 100,"0,6","0,13","0,84","0,08"
True,10,1,60,0 70 80 100,"0,53","0,22","0,65","0,14"
True,10,2,60,0 70 80 100,"0,57","0,13","0,74","0,08"
True,10,3,60,0 70 80 100,"0,48","0,2","0,9","0,08"
True,10,4,60,0 70 80 100,"0,48","0,2","0,9","0,07"
False,10,1,60,0 70 80 100,"0,37","0,35","0,43","0,37"
True,5,1,60,0 70 80 100,"0,5",23,"0,65","0,05"
True,5,2,60,0 70 80 100,"0,53","0,12","0,75","0,09"
True,5,3,60,0 70 80 100,"0,46","0,04","0,9","0,02"
True,5,4,60,0 70 80 100,"0,49","0,09","0,88","0,04"
False,5,1,60,0 70 80 100,"0,33","0,21","0,56","0,3"
True,10,1,60,0 70 100,"0,7","0,31","0,76","0,26"
True,10,2,60,0 70 100,"0,7","0,1","0,99","0,01"
True,10,3,60,0 70 100,"0,7","0,17",1,0
True,10,4,60,0 70 100,"0,7","0,15",1,0
False,10,1,60,0 70 100,"0,63","0,31","0,74","0,26"
True,5,1,60,0 70 100,"0,73","0,23","0,8","0,03"
True,5,2,60,0 70 100,"0,7","0,14",1,"0,01"
True,5,3,60,0 70 100,"0,7","0,08",1,0
True,5,4,60,0 70 100,"0,7","0,08",1,0
False,5,1,60,0 70 100,"0,6","0,13","0,83","0,08"
